2023-05-05,BATS:CBOE,988.2,293.7,173.4,15791.9,14419.4,Q12023,3972.2,1137.6,896.9,15401.2,18365.7,3958.5,3820.2,3.98,0.35,22.58,965.2,939.5,-598.54,-128.03,6.81,27.37,BATS,CBOE,0.495,Financial Exchanges and Data,51884.53,15920.21,30.68
2023-05-05,NasdaqCM:AADI,5.87,-16.8,-15.2,25.8,196.7,Q12023,18.79,-61.8,-58.7,142.7,114.0,15.23,11.0,70.82,23.37,-312.4,-57.3,-59.3,-139.33,-92.3,-27.45,-42.04,NasdaqCM,AADI,1.416813456,Biotechnology,198441.802,10991.665,5.54
2023-05-05,NasdaqCM:ABIO,,-1.63,-1.35,-10.1,30.4,Q12023,,-8.18,-7.91,,,,,,,,-9.84,-13.94,,,,,NasdaqCM,ABIO,1.37,Biotechnology,198441.802,10991.665,5.54
2023-05-05,NasdaqCM:ABVC,0.13,-1.9,-1.9,30.0,26.6,Q12023,1.074,-10.78,-12.17,,,0.97,0.343,213.12,10.72,-1133.15,-16.49,-18.44,4053.85,757.73,,,NasdaqCM,ABVC,0.398,Biotechnology,198441.802,10991.665,5.54
2023-05-05,NasdaqCM:ACER,,-4.97,-16.3,27.2,17.7,Q12023,,-22.5,-37.99,,,,,,,,-28.74,-23.78,,,,,NasdaqCM,ACER,0.58,Pharmaceuticals,381534.84,91046.74,23.86
2023-05-05,NasdaqCM:ACNB,27.7,,9.02,,238.5,Q12023,111.5,,47.82,295.6,293.5,105.3,98.8,12.85,5.89,42.89,47.61,40.18,-96.61,-39.84,23.94,23.06,NasdaqCM,ACNB,0.355,Regional Banks,168523.15,68090.653,40.4
2023-05-05,NasdaqCM:ACXP,,,-2.9,25.8,34.9,Q12023,,,-12.32,23.7,50.6,,,,,,-12.09,-11.46,,,-32.09,44.99,NasdaqCM,ACXP,1.416813456,Biotechnology,198441.802,10991.665,5.54
2023-05-05,NasdaqCM:ADIL,,-2.92,-2.91,5.05,8.84,Q12023,,-13.18,-12.8,,,,,,,,-12.95,-14.51,,,,,NasdaqCM,ADIL,0.946,Pharmaceuticals,381534.84,91046.74,23.86
2023-05-05,NasdaqCM:ADN,0.98,-11.2,-12.0,13.6,34.4,Q12023,7.57,-43.14,-81.9,,,7.85,8.79,-13.88,-3.57,-1081.9,-83.0,-53.0,-492.86,2268.85,,,NasdaqCM,ADN,-0.102,Electrical Components and Equipment,110653.489,12000.075,10.84
2023-05-05,NasdaqCM:ADTH,32.7,-1.14,-5.22,63.0,128.1,Q12023,164.6,9.82,-0.2,144.7,105.9,166.1,169.3,-2.78,-0.9,-0.12,1.27,-14.38,-2.0,-401.7,12.96,-17.33,NasdaqCM,ADTH,1.05,Advertising,41739.5,3891.557,9.32
